case_id;activity;time;robot
;TA_enter;2023-08-21 10:17:11;0
;TA_task1;2023-08-21 10:17:16;0
;TB_enter;2023-08-21 10:17:17;2
;TB_task2;2023-08-21 10:17:22;2
;TA_task3;2023-08-21 10:17:24;5
;TB_task3;2023-08-21 10:17:24;5
;TC_enter;2023-08-21 10:17:39;1
;TC_task1;2023-08-21 10:17:44;1
;TD_enter;2023-08-21 10:17:57;5
;TD_task2;2023-08-21 10:18:02;5
;TC_task3;2023-08-21 10:18:04;2
;TD_task3;2023-08-21 10:18:04;2
;TF_enter;2023-08-21 10:18:19;2
;TE_enter;2023-08-21 10:18:24;0
;TF_task2;2023-08-21 10:18:24;2
;TE_task1;2023-08-21 10:18:29;0
;TE_task3;2023-08-21 10:18:30;3
;TF_task3;2023-08-21 10:18:30;3
;TH_enter;2023-08-21 10:18:46;1
;TG_enter;2023-08-21 10:18:46;5
;TH_task2;2023-08-21 10:18:51;1
;TG_task1;2023-08-21 10:18:51;5
;TG_task3;2023-08-21 10:18:53;2
;TH_task3;2023-08-21 10:18:53;2
;TG_task4;2023-08-21 10:18:53;5
;TH_task4;2023-08-21 10:18:53;5
